Date,Open,High,Low,Close
6/23/2023,"4,354.17","4,366.55","4,341.34","4,348.33"
6/26/2023,"4,344.84","4,362.06","4,328.08","4,328.82"
6/27/2023,"4,337.36","4,384.42","4,335.00","4,378.41"
6/28/2023,"4,367.48","4,390.35","4,360.22","4,376.86"
6/29/2023,"4,374.94","4,398.39","4,371.97","4,396.44"
6/30/2023,"4,422.44","4,458.48","4,422.44","4,450.38"
7/3/2023,"4,449.45","4,456.46","4,442.29","4,455.59"
7/5/2023,"4,442.04","4,454.06","4,436.61","4,446.82"
7/6/2023,"4,422.62","4,422.62","4,385.05","4,411.59"
7/7/2023,"4,404.54","4,440.39","4,397.40","4,398.95"
7/10/2023,"4,394.23","4,412.60","4,389.92","4,409.53"
7/11/2023,"4,415.55","4,443.64","4,408.46","4,439.26"
7/12/2023,"4,467.69","4,488.34","4,463.23","4,472.16"
7/13/2023,"4,491.50","4,517.38","4,489.36","4,510.04"
7/14/2023,"4,514.61","4,527.76","4,499.56","4,505.42"
7/17/2023,"4,508.86","4,532.85","4,504.90","4,522.79"
7/18/2023,"4,521.78","4,562.30","4,514.59","4,554.98"
7/19/2023,"4,563.87","4,578.43","4,557.48","4,565.72"
7/20/2023,"4,554.38","4,564.74","4,527.56","4,534.87"
7/21/2023,"4,550.16","4,555.00","4,535.79","4,536.34"
7/24/2023,"4,543.39","4,563.41","4,541.29","4,554.64"
7/25/2023,"4,555.19","4,580.62","4,552.42","4,567.46"
7/26/2023,"4,558.96","4,582.47","4,547.58","4,566.75"
7/27/2023,"4,598.26","4,607.07","4,528.56","4,537.41"
7/28/2023,"4,565.75","4,590.16","4,564.01","4,582.23"
7/31/2023,"4,584.82","4,594.22","4,573.14","4,588.96"
8/1/2023,"4,578.83","4,584.62","4,567.53","4,576.73"
8/2/2023,"4,550.93","4,550.93","4,505.75","4,513.39"
8/3/2023,"4,494.27","4,519.49","4,485.54","4,501.89"
8/4/2023,"4,513.96","4,540.34","4,474.55","4,478.03"
8/7/2023,"4,491.58","4,519.84","4,491.15","4,518.44"
8/8/2023,"4,498.03","4,503.31","4,464.39","4,499.38"
8/9/2023,"4,501.57","4,502.44","4,461.33","4,467.71"
8/10/2023,"4,487.16","4,527.37","4,457.92","4,468.83"
8/11/2023,"4,450.69","4,476.23","4,443.98","4,464.05"
8/14/2023,"4,458.13","4,490.33","4,453.44","4,489.72"
8/15/2023,"4,478.87","4,478.87","4,432.19","4,437.86"
8/16/2023,"4,433.79","4,449.95","4,403.55","4,404.33"
8/17/2023,"4,416.32","4,421.17","4,364.83","4,370.36"
8/18/2023,"4,344.88","4,381.82","4,335.31","4,369.71"
8/21/2023,"4,380.28","4,407.55","4,360.30","4,399.77"
8/22/2023,"4,415.33","4,418.59","4,382.77","4,387.55"
8/23/2023,"4,396.44","4,443.18","4,396.44","4,436.01"
8/24/2023,"4,455.16","4,458.30","4,375.55","4,376.31"
8/25/2023,"4,389.38","4,418.46","4,356.29","4,405.71"
8/28/2023,"4,426.03","4,439.56","4,414.98","4,433.31"
8/29/2023,"4,432.75","4,500.14","4,431.68","4,497.63"
8/30/2023,"4,500.34","4,521.65","4,493.59","4,514.87"
8/31/2023,"4,517.01","4,532.26","4,507.39","4,507.66"
9/1/2023,"4,530.85","4,541.25","4,501.35","4,515.77"
9/5/2023,"4,510.06","4,514.29","4,496.01","4,496.83"
9/6/2023,"4,490.35","4,490.35","4,442.38","4,465.48"
9/7/2023,"4,434.55","4,457.81","4,430.46","4,451.14"
9/8/2023,"4,451.30","4,473.53","4,448.38","4,457.49"
9/11/2023,"4,480.98","4,490.77","4,467.89","4,487.46"
9/12/2023,"4,473.27","4,487.11","4,456.83","4,461.90"
9/13/2023,"4,462.65","4,479.39","4,453.52","4,467.44"
9/14/2023,"4,487.78","4,511.99","4,478.69","4,505.10"
9/15/2023,"4,497.98","4,497.98","4,447.21","4,450.32"
9/18/2023,"4,445.13","4,466.36","4,442.11","4,453.53"
9/19/2023,"4,445.41","4,449.85","4,416.61","4,443.95"
9/20/2023,"4,452.81","4,461.03","4,401.38","4,402.20"
9/21/2023,"4,374.36","4,375.70","4,329.17","4,330.00"
9/22/2023,"4,341.74","4,357.40","4,316.49","4,320.06"
9/25/2023,"4,310.62","4,338.51","4,302.70","4,337.44"
9/26/2023,"4,312.88","4,313.01","4,265.98","4,273.53"
9/27/2023,"4,282.63","4,292.07","4,238.63","4,274.51"
9/28/2023,"4,269.65","4,317.27","4,264.38","4,299.70"
9/29/2023,"4,328.18","4,333.15","4,274.86","4,288.05"
10/2/2023,"4,284.52","4,300.58","4,260.21","4,288.39"
10/3/2023,"4,269.75","4,281.15","4,216.45","4,229.45"
10/4/2023,"4,233.83","4,268.50","4,220.48","4,263.75"
10/5/2023,"4,259.31","4,267.13","4,225.91","4,258.19"
10/6/2023,"4,234.79","4,324.10","4,219.55","4,308.50"
10/9/2023,"4,289.02","4,341.73","4,283.79","4,335.66"
10/10/2023,"4,339.75","4,385.46","4,339.64","4,358.24"
10/11/2023,"4,366.59","4,378.64","4,345.34","4,376.95"
10/12/2023,"4,380.94","4,385.85","4,325.43","4,349.61"
10/13/2023,"4,360.49","4,377.10","4,311.97","4,327.78"
10/16/2023,"4,342.37","4,383.33","4,342.37","4,373.63"
10/17/2023,"4,345.23","4,393.57","4,337.54","4,373.20"
10/18/2023,"4,357.35","4,364.20","4,303.84","4,314.60"
10/19/2023,"4,321.36","4,339.54","4,269.69","4,278.00"
10/20/2023,"4,273.85","4,276.56","4,223.03","4,224.16"
10/23/2023,"4,210.40","4,255.84","4,189.22","4,217.04"
10/24/2023,"4,235.79","4,259.38","4,219.43","4,247.68"
10/25/2023,"4,232.42","4,232.42","4,181.42","4,186.77"
10/26/2023,"4,175.99","4,183.60","4,127.90","4,137.23"
10/27/2023,"4,152.93","4,156.70","4,103.78","4,117.37"
10/30/2023,"4,139.39","4,177.47","4,132.94","4,166.82"
10/31/2023,"4,171.33","4,195.55","4,153.12","4,193.80"
11/1/2023,"4,201.27","4,245.64","4,197.74","4,237.86"
11/2/2023,"4,268.26","4,319.72","4,268.26","4,317.78"
11/3/2023,"4,334.23","4,373.62","4,334.23","4,358.34"
11/6/2023,"4,364.27","4,372.21","4,347.53","4,365.98"
11/7/2023,"4,366.21","4,386.26","4,355.41","4,378.38"
11/8/2023,"4,384.37","4,391.20","4,359.76","4,382.78"
11/9/2023,"4,391.41","4,393.40","4,343.94","4,347.35"
11/10/2023,"4,364.15","4,418.03","4,353.34","4,415.24"
11/13/2023,"4,406.66","4,421.76","4,393.82","4,411.55"
11/14/2023,"4,458.97","4,508.67","4,458.97","4,495.70"
11/15/2023,"4,505.30","4,521.17","4,495.31","4,502.88"
11/16/2023,"4,497.08","4,511.99","4,487.83","4,508.24"
11/17/2023,"4,509.55","4,520.12","4,499.66","4,514.02"
11/20/2023,"4,511.70","4,557.11","4,510.36","4,547.38"
11/21/2023,"4,538.77","4,542.14","4,525.51","4,538.19"
11/22/2023,"4,553.04","4,568.43","4,545.05","4,556.62"
11/24/2023,"4,555.84","4,560.31","4,552.80","4,559.34"
11/27/2023,"4,554.86","4,560.52","4,546.32","4,550.43"
11/28/2023,"4,545.55","4,568.14","4,540.51","4,554.89"
11/29/2023,"4,571.84","4,587.64","4,547.15","4,550.58"
11/30/2023,"4,554.87","4,569.89","4,537.24","4,567.80"
12/1/2023,"4,559.43","4,599.39","4,554.71","4,594.63"
12/4/2023,"4,564.37","4,572.37","4,546.72","4,569.78"
12/5/2023,"4,557.25","4,578.56","4,551.68","4,567.18"
12/6/2023,"4,586.23","4,590.74","4,546.50","4,549.34"
12/7/2023,"4,568.84","4,590.92","4,565.22","4,585.59"
12/8/2023,"4,576.20","4,609.23","4,574.06","4,604.37"
12/11/2023,"4,593.39","4,623.71","4,593.39","4,622.44"
12/12/2023,"4,618.30","4,643.93","4,608.09","4,643.70"
12/13/2023,"4,646.20","4,709.69","4,643.23","4,707.09"
12/14/2023,"4,721.04","4,738.57","4,694.34","4,719.55"
12/15/2023,"4,714.23","4,725.53","4,704.69","4,719.19"
12/18/2023,"4,725.58","4,749.52","4,725.58","4,740.56"
12/19/2023,"4,743.72","4,768.69","4,743.72","4,768.37"
12/20/2023,"4,764.73","4,778.01","4,697.82","4,698.35"
